epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3395777642726898,0.0010000000474974513,1.9089704751968384,0.4553999900817871,1.5459990501403809
1,0.4713555574417114,0.0010000000474974513,1.518558144569397,0.48660001158714294,1.5301398038864136
2,0.5280444622039795,0.0010000000474974513,1.3862096071243286,0.5770000219345093,1.2610278129577637
3,0.5598222017288208,0.0010000000474974513,1.304313063621521,0.571399986743927,1.2884441614151
4,0.5875333547592163,0.0010000000474974513,1.238096833229065,0.6122000217437744,1.1837049722671509
5,0.6115111112594604,0.0010000000474974513,1.1860814094543457,0.6355999708175659,1.1743199825286865
6,0.6286888718605042,0.0010000000474974513,1.1504770517349243,0.6373999714851379,1.1421005725860596
7,0.6435333490371704,0.0010000000474974513,1.1155362129211426,0.6349999904632568,1.154271125793457
8,0.6565333604812622,0.0010000000474974513,1.0882407426834106,0.6693999767303467,1.0974565744400024
9,0.6654444336891174,0.0010000000474974513,1.0690927505493164,0.6725999712944031,1.0819238424301147
10,0.6763555407524109,0.0010000000474974513,1.0473254919052124,0.6937999725341797,1.0827319622039795
11,0.6786444187164307,0.0010000000474974513,1.0344736576080322,0.7003999948501587,0.9847015738487244
12,0.6890000104904175,0.0010000000474974513,1.0185762643814087,0.6546000242233276,1.2264347076416016
13,0.6967777609825134,0.0010000000474974513,0.9999304413795471,0.7242000102996826,0.9515736103057861
14,0.7031333446502686,0.0010000000474974513,0.9901267290115356,0.670199990272522,1.1293889284133911
15,0.706933319568634,0.0010000000474974513,0.982352077960968,0.7324000000953674,0.9504060745239258
16,0.7104889154434204,0.0010000000474974513,0.9745964407920837,0.6534000039100647,1.2461968660354614
17,0.7167111039161682,0.0010000000474974513,0.9604583978652954,0.6704000234603882,1.1108781099319458
18,0.7192222476005554,0.0010000000474974513,0.9531101584434509,0.7603999972343445,0.8704691529273987
19,0.7228000164031982,0.0010000000474974513,0.9550186395645142,0.7218000292778015,1.0094726085662842
20,0.7240444421768188,0.0010000000474974513,0.9443112015724182,0.7052000164985657,1.0894919633865356
21,0.727577805519104,0.0010000000474974513,0.9395157098770142,0.704200029373169,1.0248301029205322
22,0.7469333410263062,0.0005000000237487257,0.8824847936630249,0.7851999998092651,0.7918810844421387
23,0.7536888718605042,0.0005000000237487257,0.8624343872070312,0.7639999985694885,0.8618553876876831
24,0.7570666670799255,0.0005000000237487257,0.852323591709137,0.7570000290870667,0.8835393786430359
25,0.7595555782318115,0.0005000000237487257,0.837749719619751,0.7627999782562256,0.8683170676231384
26,0.7729555368423462,0.0002500000118743628,0.8036086559295654,0.7975999712944031,0.7522611618041992
27,0.7748666405677795,0.0002500000118743628,0.789793074131012,0.7954000234603882,0.7595287561416626
28,0.777400016784668,0.0002500000118743628,0.7823988795280457,0.796999990940094,0.7405791282653809
29,0.7797555327415466,0.0002500000118743628,0.7741091251373291,0.7904000282287598,0.7511866092681885
30,0.7833333611488342,0.0002500000118743628,0.7699432373046875,0.801800012588501,0.75057053565979
31,0.7831777930259705,0.0002500000118743628,0.7614957690238953,0.8098000288009644,0.6982054114341736
32,0.7833777666091919,0.0002500000118743628,0.7581090331077576,0.8047999739646912,0.7163862586021423
33,0.7840444445610046,0.0002500000118743628,0.7578917741775513,0.7811999917030334,0.7800163626670837
34,0.7863110899925232,0.0002500000118743628,0.7486393451690674,0.7979999780654907,0.7233956456184387
35,0.7914888858795166,0.0001250000059371814,0.7339213490486145,0.8095999956130981,0.6849156618118286
36,0.7951333522796631,0.0001250000059371814,0.7193676233291626,0.8090000152587891,0.6877583265304565
37,0.7963111400604248,0.0001250000059371814,0.7173119187355042,0.8087999820709229,0.709681510925293
38,0.7962222099304199,0.0001250000059371814,0.7159577012062073,0.8241999745368958,0.6653324365615845
39,0.7973999977111816,0.0001250000059371814,0.7120004296302795,0.8203999996185303,0.6710744500160217
40,0.7960222363471985,0.0001250000059371814,0.7134751081466675,0.817799985408783,0.6670876145362854
41,0.7987555265426636,0.0001250000059371814,0.7070704698562622,0.8169999718666077,0.67385333776474
42,0.8020444512367249,6.25000029685907e-05,0.692334771156311,0.8252000212669373,0.6599159836769104
43,0.8042444586753845,6.25000029685907e-05,0.6888449788093567,0.8253999948501587,0.6534464359283447
44,0.8019555807113647,6.25000029685907e-05,0.6904827356338501,0.8256000280380249,0.6541463136672974
